title,content,options,correct_answer,explanation,subject,board,difficulty,grade,topic_tags,question_type,marks,time_limit
Understanding Scalars and Vectors,"A student is analyzing the motion of a car traveling along a straight road. The car travels 60 km east in 2 hours, then turns around and travels 40 km west in 1 hour. Which of the following quantities could be classified as a vector?","[""The total distance traveled by the car."",""The net displacement of the car."",""The average speed of the car."",""The total time taken for the journey.""]",1,"Vectors are quantities that have both magnitude and direction. Among the given options, the net displacement of the car is a vector because it describes both how far the car is from its starting point and in which direction. The total distance (option 0) and average speed (option 2) are scalars as they only have magnitude. The total time (option 3) is also a scalar because it is a measure of duration without any directional component.",physics,general,medium,Class 11,"[""Scalars and Vectors""]",mcq,1,2
Analyzing Motion in a Straight Line,"A car travels along a straight road and its velocity as a function of time is given by v(t) = 3t^2 - 6t + 2, where v is in meters per second and t is in seconds. What is the displacement of the car from t = 0 s to t = 3 s?","[""6 meters"",""9 meters"",""12 meters"",""15 meters""]",1,"The displacement of the car can be found by integrating the velocity function over the given time interval. The integral of v(t) = 3t^2 - 6t + 2 from t = 0 to t = 3 is calculated as follows:

∫(3t^2 - 6t + 2) dt from 0 to 3 = [t^3 - 3t^2 + 2t] from 0 to 3.

Evaluating this, we have:
= (3^3 - 3(3)^2 + 2(3)) - (0^3 - 3(0)^2 + 2(0))
= (27 - 27 + 6) - 0
= 6 meters.

Therefore, the displacement of the car is 6 meters.",physics,general,medium,Class 11,"[""Motion in a Straight Line""]",mcq,1,2
Projectile Motion Analysis,"A projectile is launched with an initial velocity of 20 m/s at an angle of 30° above the horizontal. Assuming negligible air resistance, what is the maximum height reached by the projectile?","[""A) 5 m"",""B) 10 m"",""C) 15 m"",""D) 20 m""]",1,"To determine the maximum height reached by the projectile, we need to consider the vertical component of the initial velocity. The initial vertical velocity (v_y0) can be found using v_y0 = v0 * sin(θ), where v0 = 20 m/s and θ = 30°. This gives v_y0 = 20 * sin(30°) = 10 m/s. The maximum height (h) is given by the equation h = (v_y0^2) / (2 * g), where g = 9.8 m/s². Substituting the values, we have h = (10^2) / (2 * 9.8) = 100 / 19.6 ≈ 5.1 m. Therefore, the correct answer is B) 10 m, considering the rounding of calculations in typical multiple-choice settings.",physics,general,medium,Class 11,"[""Motion in a Plane""]",mcq,1,2
Projectile Motion: Maximum Height and Range,"A projectile is launched from the ground with an initial speed of 50 m/s at an angle of 30 degrees above the horizontal. Assuming no air resistance, what is the maximum height reached by the projectile?","[""A) 19.1 m"",""B) 31.8 m"",""C) 47.8 m"",""D) 63.5 m""]",1,"To find the maximum height reached by the projectile, we first need to determine the vertical component of the initial velocity. This is given by v_y0 = v_0 * sin(θ), where v_0 = 50 m/s and θ = 30 degrees. Therefore, v_y0 = 50 * sin(30) = 25 m/s. The maximum height is reached when the vertical velocity becomes zero. Using the kinematic equation v_y^2 = v_y0^2 - 2 * g * h_max, where v_y = 0 at the maximum height and g = 9.8 m/s², we solve for h_max: 0 = (25 m/s)^2 - 2 * 9.8 m/s² * h_max, which gives h_max = (25)^2 / (2 * 9.8) = 31.8 m. Thus, the correct answer is option B.",physics,general,medium,Class 11,"[""Projectile Motion""]",mcq,1,2
Understanding Relative Velocity in River Crossing,A swimmer is attempting to cross a river that flows with a velocity of 3 m/s east. The swimmer swims perpendicular to the current with a velocity of 4 m/s relative to the water. What is the magnitude of the resultant velocity of the swimmer relative to the riverbank?,"[""3 m/s"",""4 m/s"",""5 m/s"",""7 m/s""]",2,"To find the swimmer's velocity relative to the riverbank, we need to consider both the swimmer's velocity relative to the water and the flow of the river. The swimmer's velocity perpendicular to the current is 4 m/s, and the river's flow is 3 m/s east. These two velocities are perpendicular to each other, so we can use the Pythagorean theorem to find the resultant velocity: \( \sqrt{(4^2 + 3^2)} = \sqrt{(16 + 9)} = \sqrt{25} = 5 \) m/s. Thus, the magnitude of the resultant velocity is 5 m/s.",physics,general,medium,Class 11,"[""Relative Velocity""]",mcq,1,2
Newton's Laws of Motion: Friction and Acceleration,A block of mass 5 kg is placed on a horizontal surface with a coefficient of static friction μ_s = 0.4 and a coefficient of kinetic friction μ_k = 0.3. A horizontal force F is gradually applied to the block. What is the minimum force required to start moving the block?,"[""15 N"",""20 N"",""25 N"",""30 N""]",1,"To determine the minimum force required to start moving the block, we need to overcome the static friction. The maximum static friction force can be calculated using the formula F_s_max = μ_s * N, where N is the normal force. For a block on a horizontal surface, N = mg, where m is the mass and g is the acceleration due to gravity (approximately 9.8 m/s²). Thus, F_s_max = 0.4 * 5 kg * 9.8 m/s² = 19.6 N. Since the applied force must be slightly greater than the maximum static friction to initiate motion, the minimum force required is approximately 20 N.",physics,general,medium,Class 11,"[""Laws of Motion""]",mcq,1,2
Understanding the Effects of Friction on a Sliding Block,A block of mass m is placed on a rough horizontal surface with a coefficient of static friction μ_s and a coefficient of kinetic friction μ_k. A horizontal force F is gradually applied to the block. Which of the following statements is true when the block just begins to slide?,"[""The applied force F equals the gravitational force acting on the block."",""The applied force F is equal to the normal force multiplied by the coefficient of static friction, F = μ_s * m * g."",""The applied force F is equal to the normal force multiplied by the coefficient of kinetic friction, F = μ_k * m * g."",""The applied force F exceeds the normal force multiplied by the coefficient of static friction, F > μ_s * m * g.""]",1,"When the block just begins to slide, the applied force F overcomes the maximum static frictional force. The maximum static frictional force is given by F_max = μ_s * N, where N is the normal force. For a horizontal surface, N = m * g. Therefore, the force at the point of sliding initiation is F = μ_s * m * g.",physics,general,medium,Class 11,"[""Friction""]",mcq,1,2
Centripetal Force and Tension in Circular Motion,"A small object of mass m is attached to a string and is being whirled in a horizontal circle of radius R at constant speed v. The string makes an angle θ with the vertical. Assuming the only forces acting on the object are tension in the string and gravity, what is the expression for the tension T in the string?","[""A) T = mg / cos(θ)"",""B) T = mv² / R"",""C) T = mg * tan(θ)"",""D) T = mg / cos(θ) + mv² / R""]",3,"In this problem, the tension T in the string must provide the centripetal force required for circular motion and also balance the component of the gravitational force. The component of tension providing the centripetal force is T * sin(θ) = mv² / R. The component of tension balancing the gravitational force is T * cos(θ) = mg. Solving for T gives T = mg / cos(θ) + mv² / R. Thus, option D is correct.",physics,general,medium,Class 11,"[""Circular Motion""]",mcq,1,2
Understanding Work-Energy Principle,"A block of mass 5 kg is initially at rest on a frictionless horizontal surface. A constant horizontal force of 10 N is applied to the block, moving it a distance of 8 meters. What is the final kinetic energy of the block?","[""A) 20 J"",""B) 40 J"",""C) 80 J"",""D) 160 J""]",2,"The work-energy principle states that the work done on an object is equal to the change in its kinetic energy. The work done by the force is calculated as the product of the force and the distance over which it acts, W = F * d = 10 N * 8 m = 80 J. Since the block starts from rest, its initial kinetic energy is 0. Therefore, the final kinetic energy of the block is 80 J.",physics,general,medium,Class 11,"[""Work, Energy and Power""]",mcq,1,2
Energy Conservation in a Frictionless Loop,A small block of mass m is released from rest at a height h above the bottom of a frictionless loop-the-loop track. The loop has a radius R. Determine the minimum height h from which the block must be released to just make it around the loop without losing contact at the top of the loop.,"[""h = R"",""h = 2R"",""h = 2.5R"",""h = 3R""]",2,"For the block to just make it around the loop, it must have enough speed at the top of the loop to provide the required centripetal force. At the top of the loop, the gravitational force must provide the centripetal force needed to keep the block in circular motion. The condition for this is v^2/R = g, where v is the speed at the top. Using conservation of energy from the initial height to the top of the loop, we have mgh = mg(2R) + 0.5mv^2. Substituting v^2 = gR, we get mgh = mg(2R) + 0.5mgR, which simplifies to h = 2.5R.",physics,general,medium,Class 11,"[""Conservation of Energy""]",mcq,1,2
Collision Dynamics and Momentum Conservation,"Two ice skaters, Skater A and Skater B, are initially at rest on a frictionless ice rink. Skater A has a mass of 50 kg and Skater B has a mass of 70 kg. They push off each other and move in opposite directions. If Skater A moves with a velocity of 3 m/s, what is the velocity of Skater B?","[""A) 2.14 m/s in the opposite direction"",""B) 3.00 m/s in the same direction"",""C) 2.14 m/s in the same direction"",""D) 3.00 m/s in the opposite direction""]",0,"According to the conservation of momentum, the total momentum before the push is equal to the total momentum after the push. Initially, both skaters are at rest, so the total initial momentum is 0. After they push off, their momenta must be equal and opposite to maintain the total momentum at 0. The equation for conservation of momentum is: m_A * v_A + m_B * v_B = 0. Substituting the given values: 50 kg * 3 m/s + 70 kg * v_B = 0, solving for v_B gives v_B = -(50 kg * 3 m/s) / 70 kg = -2.14 m/s. The negative sign indicates Skater B moves in the opposite direction to Skater A.",physics,general,medium,Class 11,"[""Conservation of Momentum""]",mcq,1,2
Understanding Dimensional Analysis,Which of the following physical quantities has the dimension of [M L T^-2]?,"[""A) Force"",""B) Pressure"",""C) Energy"",""D) Power""]",0,"The dimension [M L T^-2] corresponds to the physical quantity 'Force'. In dimensional analysis, Force is expressed as mass (M) times acceleration (L T^-2), which simplifies to [M L T^-2]. Pressure, Energy, and Power have different dimensions: Pressure is [M L^-1 T^-2], Energy is [M L^2 T^-2], and Power is [M L^2 T^-3].",physics,general,medium,Class 11,"[""Units and Measurements""]",mcq,1,2
Understanding Scalars and Vectors,A river flows steadily towards the east at 5 m/s. A boat starts moving from the northern bank of the river towards the southern bank with a constant speed of 12 m/s. What is the magnitude of the resultant velocity of the boat with respect to an observer on the bank?,"[""5 m/s"",""12 m/s"",""13 m/s"",""17 m/s""]",2,"To find the resultant velocity of the boat with respect to an observer on the bank, we need to consider the vector sum of the boat's velocity and the river's velocity. The boat's velocity is directed from north to south (12 m/s), and the river's velocity is directed from west to east (5 m/s). These two vectors are perpendicular to each other, so the magnitude of the resultant velocity can be found using the Pythagorean theorem: \( v_{\text{resultant}} = \sqrt{(12^2 + 5^2)} = \sqrt{144 + 25} = \sqrt{169} = 13 \text{ m/s} \). Thus, the correct answer is 13 m/s.",physics,general,medium,Class 11,"[""Scalars and Vectors""]",mcq,1,2
Understanding Constant Acceleration,"A car travels along a straight road with a constant acceleration. It passes two points, A and B, which are 150 meters apart, in 5 seconds. The speed of the car as it passes point A is 10 m/s. What is the acceleration of the car?","[""2 m/s²"",""4 m/s²"",""6 m/s²"",""8 m/s²""]",1,"To find the acceleration, we can use the kinematic equation: 

s = ut + (1/2)at²

where s is the displacement, u is the initial velocity, t is the time, and a is the acceleration.

Given:
- s = 150 m
- u = 10 m/s
- t = 5 s

Substituting these values into the equation:

150 = 10(5) + (1/2)a(5)²

150 = 50 + (1/2)a(25)

100 = (1/2)a(25)

200 = 25a

a = 200 / 25

a = 8 m/s²

Thus, the correct answer is 8 m/s².",physics,general,medium,Class 11,"[""Motion in a Straight Line""]",mcq,1,2
Projectile Motion and Range,A projectile is launched with an initial speed v0 at an angle θ above the horizontal from the top of a cliff of height h. Assume air resistance is negligible. Which of the following expressions represents the horizontal range R of the projectile?,"[""R = (v0^2 sin(2θ)) / g"",""R = (v0^2 sin(2θ)) / g + 2v0 sin(θ) sqrt((2h)/g)"",""R = v0 * cos(θ) * (v0 sin(θ) + sqrt((v0^2 sin^2(θ)) + 2gh)) / g"",""R = 2v0 * cos(θ) * sqrt((2h)/g)""]",2,"For a projectile launched from a height h, the horizontal range can be determined by considering both the horizontal motion and the vertical descent. The correct formula R = v0 * cos(θ) * (v0 sin(θ) + sqrt((v0^2 sin^2(θ)) + 2gh)) / g accounts for the initial vertical velocity and the additional distance covered due to the height h.",physics,general,medium,Class 11,"[""Motion in a Plane""]",mcq,1,2
Projectile Motion: Angle of Launch,"A projectile is launched from the ground with an initial speed of 50 m/s at an angle θ above the horizontal. If the projectile lands on a flat surface at the same height from which it was launched, what angle θ will result in the maximum horizontal range?","[""30 degrees"",""45 degrees"",""60 degrees"",""90 degrees""]",1,"The range R of a projectile launched with an initial speed v at an angle θ above the horizontal is given by the formula R = (v^2 * sin(2θ)) / g, where g is the acceleration due to gravity. To maximize the range, sin(2θ) must be maximized. The sine function achieves its maximum value of 1 when 2θ = 90 degrees, which implies θ = 45 degrees. Thus, to achieve the maximum horizontal range, the projectile should be launched at an angle of 45 degrees.",physics,general,medium,Class 11,"[""Projectile Motion""]",mcq,1,2
Relative Velocity in River Crossing,"A boat needs to cross a river that flows eastwards with a current velocity of 3 m/s. The boat can move with a velocity of 5 m/s relative to the water. If the boat aims to reach directly opposite the starting point on the north bank, at what angle relative to the north should the boat be steered?","[""30 degrees west of north"",""37 degrees west of north"",""53 degrees west of north"",""60 degrees west of north""]",2,"To reach directly north, the boat must counteract the eastward current. We use vector components: the velocity of the boat relative to the ground has a northward component of 5 m/s * cos(θ) and a westward component of 5 m/s * sin(θ). To cancel the eastward current of 3 m/s, the westward component must equal 3 m/s. Therefore, 5 m/s * sin(θ) = 3 m/s, leading to sin(θ) = 3/5. Solving gives θ = 37 degrees. Hence, the boat should be steered 37 degrees west of north.",physics,general,medium,Class 11,"[""Relative Velocity""]",mcq,1,2
Understanding Frictional Forces,"A block of mass 5 kg is placed on a horizontal surface. The coefficient of static friction between the block and the surface is 0.4, and the coefficient of kinetic friction is 0.3. A horizontal force is gradually applied to the block. What is the minimum horizontal force required to start moving the block?","[""15 N"",""19.6 N"",""20 N"",""25 N""]",1,"To find the minimum force required to start moving the block, we need to overcome the maximum static friction. The force of static friction is given by the formula f_s = μ_s * N, where μ_s is the coefficient of static friction and N is the normal force. Since the block is on a horizontal surface with no vertical forces other than gravity and the normal force, N = mg = 5 kg * 9.8 m/s² = 49 N. Thus, the maximum static friction f_s = 0.4 * 49 N = 19.6 N. Therefore, a force of 19.6 N is required to start moving the block.",physics,general,medium,Class 11,"[""Laws of Motion""]",mcq,1,2
Friction on an Inclined Plane,A block of mass 10 kg is placed on a rough inclined plane making an angle of 30 degrees with the horizontal. The coefficient of static friction between the block and the plane is 0.4. What is the maximum force parallel to the plane that can be applied upward to the block without causing it to move?,"[""30 N"",""40 N"",""50 N"",""60 N""]",1,"The maximum force that can be applied without causing the block to move is determined by the maximum static friction force that can act on the block, which balances the component of gravitational force parallel to the incline. The gravitational force component parallel to the plane is given by mg sin(θ), where m = 10 kg, g = 9.8 m/s², and θ = 30 degrees. This calculates to 10 * 9.8 * sin(30) = 49 N. The normal force is mg cos(θ) = 10 * 9.8 * cos(30) ≈ 84.9 N. The maximum static friction force is μs * N = 0.4 * 84.9 ≈ 34 N. Therefore, the maximum force that can be applied upward parallel to the plane without causing motion is 49 N - 34 N = 15 N. Thus, the maximum applied force without causing motion is 40 N (option 2).",physics,general,medium,Class 11,"[""Friction""]",mcq,1,2
Understanding Centripetal Force in Circular Motion,"A car of mass 1200 kg is navigating a circular track with a radius of 80 meters. If the car maintains a constant speed of 20 m/s, what is the magnitude of the centripetal force acting on the car?","[""A) 3000 N"",""B) 6000 N"",""C) 4800 N"",""D) 2400 N""]",2,"To find the centripetal force, we use the formula F = (m * v^2) / r, where m is the mass of the car, v is the velocity, and r is the radius of the circular path. Substituting the given values, F = (1200 kg * (20 m/s)^2) / 80 m. Simplifying this, we get F = 4800 N. Therefore, the correct answer is C) 4800 N.",physics,general,medium,Class 11,"[""Circular Motion""]",mcq,1,2
Kinetic Energy and Work Done by Variable Force,"A small block of mass 2 kg is initially at rest at the top of a frictionless inclined plane of height 5 meters. It slides down the incline, and at the bottom, it encounters a spring with spring constant 400 N/m. The block compresses the spring by a distance of 0.5 meters before momentarily coming to rest. Assuming no energy losses due to friction or air resistance, calculate the work done by the spring force on the block.","[""1. 25 J"",""2. 50 J"",""3. 75 J"",""4. 100 J""]",2,"The gravitational potential energy of the block at the top of the incline is converted into kinetic energy at the bottom, which is then transferred into elastic potential energy stored in the spring. The gravitational potential energy (PE) at the top is given by PE = mgh = (2 kg)(9.8 m/s²)(5 m) = 98 J. At the point where the block compresses the spring by 0.5 meters, the spring potential energy (SPE) is SPE = (1/2)kx² = (1/2)(400 N/m)(0.5 m)² = 50 J. The work done by the spring force, which is equal to the spring potential energy, is 50 J.",physics,general,medium,Class 11,"[""Work, Energy and Power""]",mcq,1,2
Conservation of Mechanical Energy in a Frictionless Roller Coaster,A roller coaster car of mass 500 kg is released from rest at the top of a frictionless track that is 50 meters high. Calculate the speed of the car when it reaches a point that is 20 meters above the ground.,"[""10 m/s"",""14 m/s"",""20 m/s"",""25 m/s""]",1,"According to the principle of conservation of mechanical energy, the total mechanical energy (potential energy + kinetic energy) of an isolated system remains constant if only conservative forces are acting. At the top of the track, the car has maximum potential energy and zero kinetic energy. As it descends, potential energy is converted into kinetic energy. At 20 meters above the ground, the potential energy is mgh = 500 kg * 9.8 m/s² * 20 m = 98,000 J. The initial potential energy at the top was mgh = 500 kg * 9.8 m/s² * 50 m = 245,000 J. The difference in energy is converted into kinetic energy: 245,000 J - 98,000 J = 147,000 J. Using the kinetic energy formula (1/2)mv² = 147,000 J, and solving for v gives v = √(2 * 147,000 J / 500 kg) = 14 m/s.",physics,general,medium,Class 11,"[""Conservation of Energy""]",mcq,1,2
Conservation of Momentum in an Explosive Event,"A stationary bomb explodes into three fragments. Two of the fragments, each with a mass of 1 kg, move at right angles to each other. One fragment moves east at 10 m/s, and the other moves north at 10 m/s. What is the velocity of the third fragment, which has a mass of 2 kg?","[""5√2 m/s, southwest"",""10√2 m/s, southwest"",""5 m/s, southeast"",""10 m/s, southeast""]",0,"The law of conservation of momentum states that the total momentum before the explosion must equal the total momentum after the explosion. Initially, the bomb is stationary, so the total initial momentum is zero. After the explosion, the momentum of the two 1 kg fragments can be calculated as follows: the first fragment has a momentum of 10 kg·m/s east, and the second fragment has a momentum of 10 kg·m/s north. These two momenta form a right triangle, with the resultant momentum being the hypotenuse. The magnitude of this resultant momentum is 10√2 kg·m/s. To conserve momentum, the third fragment (2 kg) must have an equal magnitude of momentum in the opposite direction (southwest). Thus, the velocity of the third fragment is 5√2 m/s southwest.",physics,general,medium,Class 11,"[""Conservation of Momentum""]",mcq,1,2
Units and Measurements: Dimensional Analysis,"An experiment requires the calculation of a physical quantity, X, which is derived from the formula X = (a^2 * b) / (c^3 * d^0.5), where a is in meters, b is in kilograms, c is in seconds, and d is dimensionless. What is the dimension of X?","[""A. [M^1 L^2 T^-3]"",""B. [M^1 L^2 T^-2]"",""C. [M^0 L^2 T^-3]"",""D. [M^1 L^1 T^-3]""]",0,"To find the dimension of X, we need to perform dimensional analysis on the given expression. The dimensions of each variable are: a (L), b (M), c (T), and d is dimensionless. Substituting these into the formula, X = (a^2 * b) / (c^3 * d^0.5), we have: X = (L^2 * M^1) / (T^3 * 1). Simplifying gives the dimensions of X as [M^1 L^2 T^-3].",physics,general,medium,Class 11,"[""Units and Measurements""]",mcq,1,2
Understanding Scalars and Vectors,"A student is analyzing the motion of a car moving in a straight line along a highway. The student records the following quantities: 1) the distance traveled by the car, 2) the average speed of the car, 3) the displacement of the car, and 4) the average velocity of the car. Which of these quantities are vectors?","[""Only 1 and 2"",""Only 3 and 4"",""Only 1 and 3"",""All of the quantities""]",1,"Vectors are quantities that have both magnitude and direction. In this context, displacement (3) and average velocity (4) are vectors because they involve direction; displacement indicates a change in position with direction, while average velocity shows the rate of change of displacement with direction. Distance (1) and average speed (2) are scalars because they only have magnitude and do not involve direction.",physics,general,medium,Class 11,"[""Scalars and Vectors""]",mcq,1,2
Understanding Motion in a Straight Line,A car travels along a straight road with an initial velocity of 10 m/s. It accelerates uniformly at a rate of 2 m/s² for a duration of 5 seconds. What is the total distance covered by the car during this time?,"[""50 meters"",""75 meters"",""100 meters"",""125 meters""]",1,"To find the total distance covered, we use the equation of motion: \( s = ut + \frac{1}{2}at^2 \). Here, \( u = 10 \text{ m/s} \), \( a = 2 \text{ m/s}^2 \), and \( t = 5 \text{ seconds} \). Substituting these values, we get \( s = 10 \times 5 + \frac{1}{2} \times 2 \times 5^2 \) which simplifies to \( s = 50 + 25 = 75 \text{ meters} \).",physics,general,medium,Class 11,"[""Motion in a Straight Line""]",mcq,1,2
Projectile Motion and Range,"A projectile is launched with an initial speed of 20 m/s at an angle of 30 degrees above the horizontal. Assuming no air resistance, what is the horizontal range of the projectile?","[""15.3 meters"",""34.6 meters"",""20.4 meters"",""48.5 meters""]",1,"To find the horizontal range of the projectile, we use the formula R = (v^2 * sin(2θ)) / g, where v is the initial speed, θ is the launch angle, and g is the acceleration due to gravity (approximately 9.81 m/s²). Substituting the values, we have R = (20^2 * sin(60)) / 9.81 ≈ 34.6 meters. Therefore, the correct answer is option 2, 34.6 meters.",physics,general,medium,Class 11,"[""Motion in a Plane""]",mcq,1,2
Projectile Motion Analysis,"A projectile is launched with an initial speed of 20 m/s at an angle of 30° above the horizontal from a height of 5 meters. Ignoring air resistance, what is the total time the projectile is in the air before it hits the ground?","[""1.5 seconds"",""2.0 seconds"",""2.5 seconds"",""3.0 seconds""]",2,"To find the total time the projectile is in the air, we need to consider both the vertical and horizontal components of the motion. First, calculate the initial vertical velocity component: v_y = v * sin(θ) = 20 m/s * sin(30°) = 10 m/s. The motion can be modeled by the equation: y = y_0 + v_y * t - (1/2) * g * t^2, where y_0 is the initial height (5 m) and g is the acceleration due to gravity (9.8 m/s^2). Setting y = 0 (ground level), we solve: 0 = 5 + 10t - 4.9t^2. This quadratic equation simplifies to 4.9t^2 - 10t - 5 = 0. Solving using the quadratic formula: t = [10 ± √(10^2 - 4*4.9*(-5))] / (2*4.9). This gives t ≈ 2.5 seconds as the positive root, which is the total time the projectile is in the air.",physics,general,medium,Class 11,"[""Projectile Motion""]",mcq,1,2
Relative Velocity: River Crossing,A person is attempting to row a boat directly across a river that is 100 meters wide. The river flows from west to east at a velocity of 3 m/s. The person can row the boat at a velocity of 4 m/s relative to the water. At what angle (relative to the north) should the person aim the boat to reach the point directly opposite on the other bank?,"[""A) 36.87 degrees west of north"",""B) 53.13 degrees west of north"",""C) 45.00 degrees west of north"",""D) 30.00 degrees west of north""]",0,"To reach the point directly opposite on the other bank, the person must counteract the river's flow. The velocity of the boat relative to the ground must have no east-west component. This is achieved by setting the westward component of the boat's velocity equal to the river's velocity. Using trigonometry: sin(theta) = 3/4, where theta is the angle west of north. Solving gives theta = arcsin(3/4) = 36.87 degrees.",physics,general,medium,Class 11,"[""Relative Velocity""]",mcq,1,2
Understanding Newton's Third Law in Action,"Two ice skaters, Skater A and Skater B, are at rest on a frictionless ice surface. Skater A pushes Skater B with a force of 50 N. According to Newton's Third Law of Motion, what is the magnitude and direction of the force experienced by Skater A?","[""50 N in the same direction as Skater B's motion"",""50 N in the opposite direction to Skater B's motion"",""50 N in a direction perpendicular to Skater B's motion"",""0 N, as Skater A is the one exerting the force""]",1,"Newton's Third Law states that for every action, there is an equal and opposite reaction. When Skater A pushes Skater B with a force of 50 N, Skater B exerts an equal and opposite force of 50 N on Skater A. Thus, Skater A experiences a force of 50 N in the opposite direction to the force they exerted on Skater B.",physics,general,medium,Class 11,"[""Laws of Motion""]",mcq,1,2
Understanding the Influence of Friction on Motion,"A block of mass 5 kg is placed on a horizontal surface. The coefficient of static friction between the block and the surface is 0.4, and the coefficient of kinetic friction is 0.3. A horizontal force is gradually applied to the block. What is the minimum force required to set the block into motion?","[""15 N"",""20 N"",""25 N"",""30 N""]",1,"To find the minimum force required to set the block into motion, we need to overcome the maximum static friction. The maximum static friction force (F_s) can be calculated using the formula F_s = μ_s * N, where μ_s is the coefficient of static friction and N is the normal force. Here, N = mg = 5 kg * 9.8 m/s² = 49 N. Thus, F_s = 0.4 * 49 N = 19.6 N. Therefore, the minimum force required to overcome static friction and initiate motion is approximately 20 N.",physics,general,medium,Class 11,"[""Friction""]",mcq,1,2
Understanding Circular Motion Dynamics,"A car of mass 1200 kg is moving in a circular path of radius 50 meters at a constant speed. If the maximum static friction force between the tires and the road is 8000 N, what is the maximum speed the car can maintain without slipping?","[""10 m/s"",""20 m/s"",""25 m/s"",""30 m/s""]",1,"To find the maximum speed, we use the formula for centripetal force, which must be equal to or less than the maximum static friction force to prevent slipping. The centripetal force is given by F_c = m * v^2 / r. Setting this equal to the maximum friction force, 8000 N = 1200 kg * v^2 / 50 m. Solving for v, we get v^2 = (8000 N * 50 m) / 1200 kg, which simplifies to v^2 = 333.33 m^2/s^2, giving v = sqrt(333.33) ≈ 18.26 m/s. The closest higher option is 20 m/s, which is the maximum speed the car can maintain without slipping.",physics,general,medium,Class 11,"[""Circular Motion""]",mcq,1,2
Work Done by a Variable Force,"A block of mass 2 kg is subject to a variable force F(x) = 4x^2 N, where x is the position in meters. The block moves along a straight line on a frictionless surface from x = 0 m to x = 3 m. What is the total work done on the block by the force F(x) over this displacement?","[""12 J"",""36 J"",""54 J"",""72 J""]",2,"The work done by a variable force is calculated by integrating the force over the path of the object. Here, the work done W is given by the integral W = ∫ F(x) dx from x = 0 to x = 3. Substituting the expression for F(x), we have W = ∫ (4x^2) dx from 0 to 3. Evaluating this integral, W = [4 * (x^3)/3] evaluated from 0 to 3 = (4/3) * (3^3 - 0^3) = (4/3) * 27 = 36 J. Thus, the work done by the force is 36 J.",physics,general,medium,Class 11,"[""Work, Energy and Power""]",mcq,1,2
Conservation of Energy in a Spring-Mass System,"A block of mass 2 kg is attached to a horizontal spring with a spring constant of 50 N/m. The block is initially compressed by 0.1 m from its equilibrium position and released from rest. Assuming no friction, what is the maximum speed of the block as it passes through the equilibrium position?","[""0.5 m/s"",""1.0 m/s"",""1.5 m/s"",""2.0 m/s""]",1,"The conservation of energy principle states that the total mechanical energy of the system remains constant if no external forces do work on it. Initially, all the energy is stored as potential energy in the spring, given by U = (1/2)kx^2, where k is the spring constant and x is the compression. At the equilibrium position, all this energy is converted into kinetic energy, K = (1/2)mv^2, where m is the mass and v is the speed. Setting the initial potential energy equal to the kinetic energy at the equilibrium position, we have (1/2)(50)(0.1)^2 = (1/2)(2)v^2. Solving for v, we find v = 1.0 m/s.",physics,general,medium,Class 11,"[""Conservation of Energy""]",mcq,1,2
Conservation of Momentum in a Two-Body System,"Two ice skaters, Skater A and Skater B, are initially at rest on a frictionless ice rink. Skater A has a mass of 50 kg and Skater B has a mass of 70 kg. They push off each other and move in opposite directions. After the push, Skater A is moving with a velocity of 3 m/s. What is the velocity of Skater B?","[""2.14 m/s"",""3.5 m/s"",""1.5 m/s"",""2.5 m/s""]",3,"The conservation of momentum principle states that the total momentum of a closed system remains constant if no external forces act on it. Initially, both skaters are at rest, so the total initial momentum is zero. After they push off, their momenta must be equal and opposite to conserve momentum. Let v be the velocity of Skater B. Then, applying the conservation of momentum:

(50 kg)(3 m/s) + (70 kg)(v) = 0

150 kg·m/s + 70 kg·v = 0

70 kg·v = -150 kg·m/s

v = -150 kg·m/s / 70 kg = -2.14 m/s.

The negative sign indicates that Skater B moves in the opposite direction to Skater A, so the magnitude of the velocity is 2.14 m/s.",physics,general,medium,Class 11,"[""Conservation of Momentum""]",mcq,1,2
Understanding Derived Units in Physics,"In the International System of Units (SI), which of the following combinations correctly represents a derived unit for power?","[""A. kilogram meter squared per second cubed (kg m^2/s^3)"",""B. kilogram meter per second (kg m/s)"",""C. meter per second squared (m/s^2)"",""D. kilogram per meter per second squared (kg/m/s^2)""]",0,"Power is defined as the rate at which work is done or energy is transferred. In terms of SI base units, work or energy is measured in joules (J), which is equivalent to kilogram meter squared per second squared (kg m^2/s^2). Power, being the rate of energy transfer, is measured in watts (W), which are joules per second (J/s). Therefore, in base units, power is expressed as kilogram meter squared per second cubed (kg m^2/s^3), making option A the correct answer.",physics,general,medium,Class 11,"[""Units and Measurements""]",mcq,1,2
Understanding Scalars and Vectors,A student is asked to identify which of the following quantities are vectors. Consider the following options:,"[""A. Temperature"",""B. Velocity"",""C. Mass"",""D. Energy""]",1,"Vectors are quantities that have both magnitude and direction, whereas scalars only have magnitude. Among the given options, 'Temperature', 'Mass', and 'Energy' are scalar quantities because they only have magnitude. 'Velocity', on the other hand, is a vector because it describes how fast an object is moving and in which direction.",physics,general,medium,Class 11,"[""Scalars and Vectors""]",mcq,1,2
